,dates,world_cases,total_deaths,total_recovered,mortality_rate
0,1/22/20,555,17,28,0.03063063063063063
1,1/23/20,653,18,30,0.027565084226646247
2,1/24/20,941,26,36,0.02763018065887354
3,1/25/20,1434,42,39,0.029288702928870293
4,1/26/20,2118,56,52,0.02644003777148253
5,1/27/20,2927,82,61,0.02801503245644004
6,1/28/20,5578,131,107,0.023485120114736465
7,1/29/20,6166,133,126,0.021569899448589037
8,1/30/20,8234,171,143,0.020767549186300704
9,1/31/20,9927,213,222,0.021456633423995165
10,2/1/20,12038,259,284,0.021515201860774213
11,2/2/20,16787,362,472,0.021564305712753917
12,2/3/20,19881,426,623,0.02142749358684171
13,2/4/20,23892,492,852,0.02059266700150678
14,2/5/20,27635,564,1124,0.020408901755020806
15,2/6/20,30817,634,1487,0.020573060323847227
16,2/7/20,34391,719,2011,0.020906632549213457
17,2/8/20,37120,806,2616,0.021713362068965517
18,2/9/20,40150,906,3244,0.0225653798256538
19,2/10/20,42762,1013,3946,0.023689256816799963
20,2/11/20,44802,1113,4683,0.02484264095352886
21,2/12/20,45221,1118,5150,0.02472302691227527
22,2/13/20,60368,1371,6295,0.022710707659687253
23,2/14/20,66885,1523,8058,0.022770426852059506
24,2/15/20,69030,1666,9395,0.02413443430392583
25,2/16/20,71224,1770,10865,0.024851173761653376
26,2/17/20,73258,1868,12583,0.02549892161948183
27,2/18/20,75136,2007,14352,0.026711563032367974
28,2/19/20,75639,2122,16121,0.028054310606962018
29,2/20/20,76197,2247,18177,0.02948934997440844
30,2/21/20,76823,2251,18890,0.029301120758106296
31,2/22/20,78579,2458,22886,0.03128062204914799
32,2/23/20,78965,2469,23394,0.03126701703286266
33,2/24/20,79568,2629,25227,0.03304092097325558
34,2/25/20,80413,2708,27905,0.03367614689167175
35,2/26/20,81395,2770,30384,0.03403157442103323
36,2/27/20,82754,2814,33277,0.03400439857892066
37,2/28/20,84120,2872,36711,0.034141702330004756
38,2/29/20,86011,2941,39782,0.03419330085686714
39,3/1/20,88369,2996,42716,0.03390329187837364
40,3/2/20,90306,3085,45602,0.03416162824175581
41,3/3/20,92840,3160,48228,0.034037052994398964
42,3/4/20,95120,3254,51170,0.0342094196804037
43,3/5/20,97882,3348,53796,0.034204450256431214
44,3/6/20,101784,3460,55865,0.03399355497917158
45,3/7/20,105821,3558,58358,0.033622815887205754
46,3/8/20,109795,3802,60694,0.03462817068172503
47,3/9/20,113561,3988,62494,0.035117690052042516
48,3/10/20,118592,4262,64404,0.03593834322719914
49,3/11/20,125865,4615,67003,0.03666626941564374
50,3/12/20,128343,4720,68324,0.03677645060501936
51,3/13/20,145193,5404,70251,0.03721942517889981
52,3/14/20,156094,5819,72624,0.03727881917306239
53,3/15/20,167446,6440,76034,0.03846016029048171
54,3/16/20,181527,7126,78088,0.03925586827303927
55,3/17/20,197142,7905,80840,0.04009800042608881
56,3/18/20,214910,8733,83207,0.040635614908566375
57,3/19/20,242708,9867,84854,0.04065378973911037
58,3/20/20,272166,11299,87256,0.04151510475224679
59,3/21/20,304524,12973,91499,0.042600911586607296
60,3/22/20,335955,14632,97704,0.043553452099239484
